qn,ans
the calan . do you know who they are ?,why don t you tell me .
goin out .,goin where ?
what ?,just talk . tell me about my son . is he tall ?
you think it s smart to tell him we re french ?,i think he s already figured that out .
you re not exactly the type we re looking for .,you mean i m black ?
tell me who you are .,frank .
yes .,why . . . ?
is he looking at us ?,nope .
hello .,are you
you stole this truck !,i did not steal this truck !
that s the whole works right up to date .,sentimental fellow aren t you ?
and i love you too . but don t wear my stuff .,why do you do it laura ?
joseph harbin s body was found in the coffin .,what did you say ? i m sorry . . .
get in the shower . you ll feel okay .,whatever you say .
minneapolis . . . good .,you re full of tricks aren t you ?
who are you spying on ?,take a look for yourself .
geez .,what the hell are you doing ?
don t you have anything to say to me ?,thanks for doing this ellen ?
have you got a pistol permit ?,no .
hell good luck !,good luck to you too paul .
don t you remember you told me you loved me baby . . .,hey i like this .
where d you hide the beach closed signs ?,we never had any . what s the problem ?
listen edie am i going to see you again ?,what for ?
billy that s too early .,she said she s got to be home by nine .
okay harding you re on .,okay sucker .
i don t give a fuck about your parents,we sometimes went downtown to score .
just called the morgue boss . they say there s a girl there,shut up !
air . . . water . . . your sun .,where do your people come from ? where is your home ?
so boring so useless,i would just want to clear some things up
what and leave you here all by your lonesome ?,uh . . .
yeah .,well come on in .
sebastian you faggot . is she with you ?,no .
yeah ?,i think you should wear that .
sure . good by .,good by tommy .
i can t do that,when s the last time you were outside this house or this room ?
we decided . . .,cause i m worried did you just break up with me ?
nah .,never ?
sure . i can sing humoresque .,humoresque ? i ll bet you don t even know how it goes .
i don t know .,besides yourself who is his nearest relation ?
dig the pit i don t know .,no not that .
i miss you jimmy .,should have stayed a girl .
it s not going to help us !,we re going to die here ! we re going to die !
hey did you hear that ?,what sir ?
you know him ?,i know of him .
we re dead in the water . but it indicates we re moving !,what ? ? ? ?
for what ?,just call it .
excuse me i asked you a question .,i m not supposed to talk to strangers not even nuns .
reputation . reputation !,i thought it was wonderful .
i can t right now . i ve got a game .,she could be dead after the game .
as long as i get the laugh .,here . let me put these in some rubbing alcohol .
mike . . .,don t talk .
they re driving me nuts !,they re singing .
this is fucked . you don t know u who s u in that,you re right mr . depinto and maybe i jumped the gun .
why ?,fire .
relax . a snake thing like that couldn t move too quick .,screw you . for all you know they could u fly u .
i don t . no exactly .,well hunt what are your plans ?
what do you guys do ?,i m a comedian .
you think everybody i fight is a bum .,ain t they ?
the cash man !,been here long ?
you think you re the only sophomore at the prom ?,i did .
breakfast ?,no way . we re pregnant . remember ?
no you don t . i do it all the time .,oh yeah well let s both play .
both would be nice .,soon as i hit one the other ll know and beat us up .
sergeant hoffman from barrack .,yes sergeant hoffman ?
where are we going ?,shut up .
yeah .,and . . .
never know down there . helps to have a friend sometimes .,how many sharks have you killed ?
when was the last time you heard me sneeze ?,uh . . .
is it nice ?,the soho grand ?
look you can have my wallet . . .,it s not nearly enough punk .
next time tell me okay ?,but you looked so cute . all sleepy . . .
nice kid .,got a love affair with police work . drives me crazy with it .
you were at kelvin . any hotter you re approaching supernova,sweet .
george ?,what !
are you sure there s no mistake ?,none whatsoever . please mrs . lampert be careful .
you just worry about your end kid .,if we ever get to it .
why ?,what do you know about them ?
no . . .i need to sleep .,if you have a concussion you shouldn t sleep .
could i get another room .,you want to change rooms ?
what size ?,pardon ?
faster ! faster !,coming about . . . .
he met a girl .,i guess no one cares what i got a job .
crabtree said it sounded like something james would be messed up in .,crabtree ? he doesn t even know james .
that s impossible .,what if it s not . . .
they re no friends of mine .,except you re willing commit murder with them .
looks like epps gonna get some tonight .,with that coxswain dickhead .
ooh that s a pretty ring you re wearing .,it s a mood ring it tells what mood i m in .
what do you guys want ?,you hear about your old friend diego ?
do you know many of these people ?,yes . they re my friends .
yes ?,where can i get a cab back to town ?
roger .,okay . move on .
my sister s a friggin loser .,hey
you want to come inside ?,well if you re not holding a meeting or anything .
woody ! it s the moving van .,we ve got to get out of here . . .now .
me ?,not you . you . tell me again .
yeah ?,yeah .
give what up ?,why do people have to love people anyway ?
good ! then you won t be needing your car .,my car ? why you
i am a suicide risk .,is this juno ?
another little problem .,what do we do now ?
plan ?,let s just keep walking .
i d like that too .,tonight .
and again and again ! two hours late for the audition to begin with,that s on time for margo .
it s still pretty hairy sir .,you want a surf soldier ?
what do you make of them ?,shi ites i think .
you know when you sat behind me ?,at the movies ?
i ll pick you up in a half an hour .,i m not going to vegas .
oh sure . they say she s gonna turn cold tomorrow .,yah got a front movin in .
i thought it wasn t real .,your mind makes it real .
what about tonight ?,i can t tonight .
i ll explain it tomorrow !,is it hard ?
no !,run !
just a moment . put on some music will you babe ?,o .k .
why ?,to make sure she s all right .
. . . but it won t cover annabelle daniels s medical bills .,and it s less than pocket change for pg e .
thanks a lot .,i thought sonny was the good guy .
don t do that ! !,sorry .
what the hell you doin ?,shut your ass up and grab the wall !
she said not to come home until graduation .,wow you got thrown out ? for dante ?
i ve been around .,have you met holly ? josh s friend .
huh ?,that was two words .
where were you ? europe pacific ?,germany .
nudie booth ?,nudie booth . you ve never been in a nudie booth ?
you said it looked like a car accident .,what the fuck !
isn t that your speech ?,he s made a few changes .
. . .no .,will you stay here till i fall asleep ?
just a minute dear . oh oh . . .,please let s not stop george .
yes ?,i mean i ve got a job for you .
what ?,don t ask me . the guy s completely out to lunch .
sponsor ! ! !,dentonvale has been sold .
why wasn t i made aware of this bill ?,i didn t know sir .
does that mean . . . ?,we haven t slept in the same bed for years .
good night . tell me that you love me .,i love you .
with god ?,with life .
hey amber y get my smokes ?,that s my mom . i ll get em in a sec .
expect it . did you get anything from the room ?,their next target . the name is neo .
you re a regular einstein aren t you ?,supergirl ?
cocky .,strong .
a decision had to be made .,you re ok by me .
okay . . . lemme clear it with . . .,it s okay with arnie . . . come on let s go .
you think it will ?,sure thing .
gee with an invitation like that how could a girl refuse .,please .
what s this you packing ?,yeah i m giving up the apartment .
yes . go ahead .,what the bloody hell plan is this ?
it s nothing personal george . just business .,yeah . i understand . just business . right . fuck you .
yeah . . . thank you .,how have you liked your stay ?
emily dickinson .,i wouldn t know .
i know but i ve been thinking,i know but i ve been thinking
but i promised jeanne we d fight on !,i made no such promise . sound the retreat for the night !
what do i do ?,take care of mr . whale like he was your flesh and blood .
we re american soldiers . we don t abandon people .,funny you should say that while we re out looking for gold .
geez i m sorry buddy,an example must be made !
thank you .,i have to talk to you .
marcie ?,hey guys !
i ve got a wife mary . kids . you know that .,i wish i was your wife . i wish i had your kids .
what do you suggest ?,that you come with me .
i know . but we show it s not closing .,okay okay . . . we ll get someone on it .
you liked him ?,he s beautiful . . .
oh . . .,you all settled an comfortable now ?
excuse me ?,who do you want me to kill ?
she doesn t have a rolodex .,i ll bet she has a call caddy right next to her phone .
loretta what are you talking about ?,i m talking about a promise . you proposed to me !
it is a difficult situation .,i mean my doubt . why me ? am i him ?
write . cause i i have written some things .,like songs ?
well not exactly s . . .,why does rachel scream ?
you re not gonna give up on me are ya ?,what do you mean ?
anyone there ?,no one . maybe i dreamed it all up .
hey look i m wilma flintstone .,hey i have an idea . . .
oh you come to see doctor lady ?,yes .
not yet but . . . hey there s only a grand here .,i think we oughta place another bet tomorrow .
daddy no !,just for a minute
nova yeah she looked pretty sweet .,yeah now there s the perfect woman .
resting he s had a long day . aramis,more wine ! !
all i need is fifteen minutes a night .,fifteen minutes ?
how far away s the back up ?,three minutes .
got the information on you ?,get it in half an hour .
all right bruce what do you suggest ?,i suggest a nice big bomb .
the army hands you a command you go wherever it is .,right .
yes .,did you go home with him ?
why didn t you tell me about it ?,it didn t have nothin to do with you .
get out .,but this is my apartment .
that little prick .,i paid for it and everything .
bullets or no bullets he won t do it .,is there any way you could get into his truck ?
can t you understand me ?,i understand you perfectly .
yeah .,i d like to talk to you about madison .
i thought this was a school day .,i am not at the school anymore . i left last night .
take this flare .,a flare ? a flare won t do it .
yeah .,you must have a bible in here don t cha ?
it is crazy !,i know . i know . i am sorry .
occasionally .,dare say you can be taught .
they were jealous of him .,why ? because he had you ?
i could take after dad too .,you do . you re handsome and charming .
no .,oh yes you have !
this welsh dude is tripping on ruiz cause he s a shot caller .,what s that ?
this is dangerous . i m sending backup .,you want to blow the whole thing go right ahead .
uh listen willie i got a better idea .,what ? !
bitch bitch bitch . you want something to drink ?,gatorade .
actually you sing .,pardon ?
you have to smoke so early in the morning ?,it s good with coffee .
yes that s correct .,. . .there are notations every thirty seconds . . .
remember open mind .,okay we re going to try a little group hypnosis .
i need permission to leave the country so i keep my job .,we can look into that .
what s it worth to you ?,what the hell is that supposed to mean ?
be still . . .,but you wanted to talk . tell me .
and fridays ? what do you do then ?,nothing . i go to bird shops on fridays .
thank you comrade .,have you any money ?
think it d be best if you stayed put while we talk .,naw sir . . . i gotta be on my way .
my name s will graham . i . . .,oh jesus . . . come in . honey . . . !
what kind of man ?,a bowler .
it does ?,did as of last week .
that s what you think is it jim ?,yes .
sure doc .,how come you re alone on new year s eve ?
you just said there aren t any except on earth of the past .,that is what i said doctor .
must ve been some experience for you huh ?,yes .
they are evil cursed they matter not .,well okay then .
are they treating you okay ?,i heard what happened . it looks like somebody murdered him .
daniel what are you doing here ?,please susan ! i need help ! something is wrong with me !
steal it ? naw i didn t steal it .,no . . . i meant . . .
where s your coat and hat ?,left them at the office .
feds asked for me ?,they asked for the best street man i had .
actually captain your precise target area was thirty five meters that way .,thanks for pointing that out .
upstairs . getting cleaned up .,what the fuck are you doing ?
not if i don t let her .,you ?
i mean home . india .,kip i
is that better mr . taransky ?,yes . yes it is .
what is it ?,i dunno . landing pad for a helicopter ? i dunno .
i won t do it .,don t eyeball your kids .
you hand that over to the police .,i ll do nothing of the sort .
it is broad day ! the rooster tells us so !,it was the owl . believe me love it was the owl .
just a minute . no you don t .,we re not going out tonight .
what the hell was that ?,a ticking bomb . . .
if the pig hadn t broke his leg we could have taken him .,jabez ! couldn t you take a sack of seed instead ?
ann . hello .,are you in the middle of something ?
he s got it .,sorry .
uh huh . . .yeah . . .,what d you tell her ?
why did he shoot her ?,he was watching a ball game on television .
tell me . . . what else did you have ?,well a hat . . .
you re not from around here are you ?,i m from akron .
you know i do !,oh yeah give it to me .
bob rip up some bandages .,pass me some whisky .
even if i weren t .,maria . . .
thank you for my life .,it s trash now like mine .
drink drink juanito . you ll never have it so good .,he ll have it good . some day .
i m thirty seven .,what ?
i couldn t make it in time .,you mean you couldn t ? or you wouldn t ?
i ve got a lulu why ?,i m going to give a party and invite all of the suspects .
low calls him suspect zero .,suspect zero is a crackpot theory . you said so .
discretion ? sir i am a man of the cloth .,thank you .
what ?,nothing . he held her and he wept . because he . . .
where are you going ?,i don t know . . .
is that right ?,yeah but then i fucked up . i fell for her .
did you miss me ?,no .
goddamnit ! ! is busy !,it s okay lenny they d never get here in time anyway .
well you re gonna be seein me shortly .,you comin to l .a . ? when ?
i thought they were your friends ?,were doss u were u .
. . .not even a thank you ?,well i think you might consider
i could have a hundred morlocks here in thirty seconds .,i know .
women huh ?,they do take their time . so . .selina kyle . . .
what ?,who is this right ? i called you last night .
right !,beautiful specimen .
from now on you just shut up and do as you re told .,if i hadn t killed beynon . you would have .
that s a wig you wear isn t it ?,a wig ?
oh i didn t notice where d he go ?,down the . . . er . . .
you know you can come under the blanket .,it s alright .
you bet you are .,how the hell would you know ?
dressed ?,dinner . with stan and his new girl .
christ you scared the shit out of me .,aw you ain t seen nothing yet .
oh shit you gonna take that ?,what ?
how deep is he ?,a thousand feet .
why did you kill him ?,huh ! you turned him into a liability didnt you know ?
excuse me do you have . . .,to the back above the oil . how long are you staying ?
my grandmother s rich .,slow down slow down .
two fifty ? they go up ?,always two fifty my friend .
his name is frank .,frank .
debbie .,my debbie ?
. . .you re definitely doing a story . . . ?,yes sir .
please don t make this personal,oh i think you already have .
where ?,where ? where do you think a mustache would be . look !
especially not your dad .,i won t .
see you tomorrow,tomorrow
really ? that s interesting . not great ?,oh well you know .
thought i needed a little change . you like it ?,it s nice .
nothing .,oh all that work .
well how about a walk charlie bell . .,how d you know about that ?
zander is going for pilot too .,you two have so much in common .
probably lookin for sparrin partners .,. . .i said that before .
you tell us about america .,how do you know i come from america ?
jeff likes to argue for the sake of arguing .,no i don t .
i took the early rounds .,i ll bet .
i don t know .,have you looked inside ?
excuse me ?,you heard me .
no .,i saw it . i saw it in your eyes .
you went to my high school ?,no .
oh yeah . that s maya .,you know her ?
i guess we each have something the other wants .,i guess we do .
i m saying it now !,so you met somebody else ?
you re no longer an extra,or a bit player
why not ?,because you ll use it against me . won t you ?
howdy rhonda .,you re really leaving huh ?
okay seriously . what about napoleon huh ?,what about him ?
er . . . but i would ve found out anyway .,yes . i m impressed .
what,don t you wanna go to your room ? !
promise .,promises mean nothing .
a what ?,ira instant retirement account .
there s not much room,that s fine
jimmy how s the,yeah . i ll check .
are you reasonably awake ?,oh i m fine i m wide awake . what s up ?
what about bill ?,he s in love with you .
that bastard !,i thought he was a kind gentle man ?
no they say it came from the waste paper basket !,where d it come from before that ?
a car accident .,jesus jesus ! . . . when ?
i can t .,you ve got to get your mind off this .
then what ? who s going to do what ?,you know what i m talking about .
cash or check ? for the cabin . . .,cash .
yes .,you sound different . is that really you ?
you found her .,better . i found ryuji .
yeah i know .,oh waski you don t know anything .
don t go . don t go in that warehouse . . .,i don t understand .
the key yeah the key s in my pants in the bathroom .,fuck it i don t need the key .
see ya .,later .
what ? ridden on a horse ?,yes !
you want me to burn my book ?,yes .
m sieu laval m sieu filiba would like very much to see you .,in a moment .
thank you .,don t be late .
yes . . .,and how did you find his work ?
come on . . .,. . .you crazy bastard .
i know where he is .,and why should we believe you ?
that s a shame .,yeah a real shame .
that s puttin it mildly .,she thinks he s a pig .
who else you been to see ?,well i went down to atlantic city
. . .maybe we should never have come back .,maybe you should give it some time .
sorry . i was just trying to be nice .,yeah i got it .
when ?,when ?
it s magic .,what magic ?
really don t do that i m sure this is not his job .,i m sorry . is this a problem ?
don t play games with me little girl .,i didn t do anything mommy .
forty five . still coming straight and fast . twelve o clock .,speed ?
well . . .,we ve got a cow hanging from a helicopter .
why not sit down and wait ?,okay i will .
i mean body temperature . do you have a fever ?,never felt better .
and so did i .,well what was yours ?
it s a profound life experience .,like a stroke ?
hi guys . we should probably get going .,where ?
you can do that ?,oh no way . i can t do that to her .
yeah . me ?,yes you .
why do you laugh ? you don t believe she taught me ?,i don t believe you had a mother .
no son . a pitcher .,like one of mom s ?
i d rather read thank you .,you prefer a book to your husband s company ?
it could have been an accident .,that could be told .
i don t know . he has pains .,where ?
you re startled ?,oh no . just a little bowled over that s all .
look .,no .
uh huh .,what for ?
uh huh .,louis i think this is the beginning of a beautiful friendship .
no !,the man downstairs said number
who dorothy ?,don . help him . help him ! ! donny ! ! ! !
what did he say ?,he asked me if i could help him find his purple lawnmower .
thank you . . .,. . . that s perfectly all right .
i told you i need a drink .,then buy a bottle and go outside .
beautiful place . . .,sure is .
oh no,yes !
there was one time when i was eleven . . .,you were talking about your wedding .
. . . er this john doe idea is yours huh ?,yes sir .
lucky thing my running into you . just the man i need .,you re not making any mistake believe you me .
or clear your windshield with it .,. . .what a lovely perfume .
how s astronaut training ?,why ? you going to give me hard time like the others ?
well i have things to do,what s this you packing ?
you did .,but i m not through complaining yet .
he really was !,uh huh .
cover me .,you got it .
me ? look at you ! what re you doing in hollywood ?,came to get a tan .
bollocks .,well i can .
you like taking risks .,so do you .
you ready to eat ?,i ll wait till after the children .
i don t know what i ve got .,nothing of any importance eh ?
goddamn it . . .goddamn it . . .goddamn it . . .,get back to your positions !
no they re not .,you ve always hated the animals .
what s that ?,the song . are you sincere with me fredo ?
he is .,he s a moron .
what ?,i used to eat there . . . really good noodles .
bruce you can t .,chase is coming for dinner . why don t you join us .
that doesn t look like very much clay .,oh it s enough . . .
you too big .,keep pushing .
oh you are i know you are .,no i m not .
. . .you fucked me !,who is this ?
good night .,good night ?
do you want more rice ?,maybe later .
why ?,as part of his plan . i don t know why .
it s late . . . .,trying to write our report . . . .
oh make that uniform blue .,yes sir .
elliot ?,this is a great young out of work actress .
alright !,we ve created a monster .
everybody has stories to tell .,not me .
officer reilly vice .,there out on a call perhaps i can help you
he was looking at everybody the same way . asking the same question .,yeah yeah . . . . this father barry what s his racket ?
i don t know it depends .,you like florida ?
neither am i .,but it s all you do .
does your mum and dad know about tony ?,yes .
do you have any music ?,what ?
convey her a message .,she s away to windsor tomorrow . talk to her there .
cool ?,smoke it !
i have to go home . chet might call .,it s just for a little while . you promised .
the second r is silent .,oh of course .
yes . i am .,in that case . . . no . . .
god bless you .,she will mr . laloosh she will . . .
and that was her . annabelle horse . . . field .,far as i know yeah that was her .
or a bit player,or a supporting actor
who the hell is he ?,he s going to run for president .
who is this metal lick a ?,metallica dad . come on .
is that any way to say hello ?,i thought your specialty was good bye .
turn the power of the hunter against him .,tie a fly . . .
i thought a journal would encourage you to reflect .,reflect .
two or three years ago .,what was she like ?
is my family here yet ?,down front as always .
coming with you .,you will not live to see the morning .
then what ?,i don t know .
wait .,what if they get in here ?
it was an accident . you re not liable . tell him .,it was an accident . i m not liable .
how about nick ? did he take good care of you ?,he was very polite worth the entire five dollars .
this spells trouble .,i have a guest .
shit .,hello .
what if you don t wanna be found ?,why do you argue with everything i say ?
waddaya talking about ? ! !,once a month you couldn t let her use the kitchen !
oh god oh god oh god oh god oh god oh . . .,. . .why do you think ?
dr . green has to see you !,got my hands full here .
where d you learn to do that ?,from my father . he was the tribe s shaman .
hasn t affected his work though .,nothing does . still . i want him to like me .
i m happy .,you re happy to get a fine ?
well then what are you doing here ?,i . . . do you want me to leave ?
i wanna see this . . .where is he do you know ?,who ?
what does that mean frank ? i don t get it . why ?,it s hard to explain .
negative effect .,it didn t work ?
shut up .,i wasn t kidding . i d like to take you out .
he saw the accident . . . ?,sure .
same car .,third time around .
thousands of people did die just different people .,but you were among the british they were your friends why betray them ?
i don t know .,you don t know .
no let me !,i don t care .
excuse me what about the job ?,pardon ?
yes it is . . .,tell me brian what would happen if the client lost the key ?
we encoded four minutes,we ll beam aboard and stop it
well mr . kringelein are you getting what you re looking for ?,what doctor ?
get water !,fix raft first .
our former commander was not . . . strong .,former commander ?
what are you doing ?,if you don t take it we ll be swimming in a minute .
for you .,you shouldn t have .
whatiya mean ?,do you want to do bad things ? anything anything .
where were you ?,detroit .
do what ?,when you remember . . .
i ran into complications .,i hate to say it . . .
who . . .,ross .
want me to imitate a stupid cop ?,cut it out now . i m warning you .
that you ve been to susan ?,i wasn t going to say
have a nice trip .,thanks . i will .
it s okay .,. . . you look beautiful .
yeah .,you ll have to send us a postcard .
don t you want me to ?,oh yeah ! put it in your mouth !
no not in the shop . but i can order them for you .,how soon ?
no .,why not ?
sit on it ! u now u look .,just don t physically . . . fantastic tip fantastic .
who wants true ? who wants moving ?,drop that attitude . here s some thing really worth while .
it is .,you done your math right .
you lived there . you know the city .,i ve still got a few legal problems back in the states .
how much time you got left ?,less than thirty minutes .
where s the power and radio setup ?,operations building . far end of the street .
they re harder to do than they look .,oh ? you ve tried ?
want to go out and have one with me ?,in a saloon ?
yes he is he wants to talk to you .,i want to talk to him .
. . .wow . . .,so what do you think ?
boy that was some air raid .,air raid ?
a little bit . . . give me your belt .,i m not even wearing any drawers . forget about a belt .
used ?,they re mine . i m turning in my running shoes to you .
you re going high cheese dude,unlock your button . . .
it s not an easy thing to meet your maker .,and what can he do for you ?
two people .,were they bad people ?
and exactly what business are you in mr . bond ?,insurance . lloyds of london .
nooo . is it your story ?,no . are you going to the correspondents dinner on saturday ?
uh that s good . and uh you ?,i m splendid too .
no problem for me either . honestly it s no problem .,i d really rather take care of it myself .
ohhh . . .,how is your tea john ?
i haven t been this happy since i was twelve years old .,what happened when you were twelve ?
oh look at that .,you like it ?
negative .,you ll still have the girl and the husband .
but thank you for speaking to me as a godfather .,you re a good fellow .
i fucked up .,shhhh .
you got it on the board .,no i need the original note .
roper . . .,who s running it !
can you drive ?,drive ? i m not old enough yet .
i know ! he killed kincaid !,i know !
sounds like a big company .,it s the french secret service .
sophia ! i m not even pregnant !,well good . thank god .
shit .,wait until he is on the stairs .
what s your name ?,my righteous name is big black .
four plus myers .,how many bodies did you find ?
you want a war ?,we got no choice .
you have such a head for knowing . you know everything .,i brought you something .
yes maude it is . it is a u very u good play .,well then what s he doing here ?
oh right .,this is your house right ?
i m retired .,good . that s real good .
i hope that s not supposed to impress me .,are you this hard on everyone who tries to help you ?
but you never let me see you kill louis .,lestat taught you all you need to know about that .
jen you don t wanna talk about it ?,it s you and mom that need to talk .
well terrorists of course .,how many terrorists have you met ? actual terrorists ?
what did he say ?,at least he wasn t thirty six .
i didn t ask if you wanted milk .,no . a little sugar though .
i m surprised he got the votes he did .,emily !
not feeling too bad now are you ?,no sir i feel really great .
oh great you found them . where were they ?,here ! in the car !
i did it .,and when did you do it ?
what s that ?,it s gonna sound really bad but i want you to know .
we re going to vegas .,when ?
who are you calling miss kubelik ?,my sister she ll want to know what happened to me .
i don t believe it . he s clean !,what ? but i saw em
do you mind . . .,just a quick word ms . langenkamp . for dylan s sake .
groceries maybe ? a package ?,i really wouldn t know you see karl takes care of that .
i have someone i want you to meet .,i ll be right there .
i know i know who wrote it .,what ?
all right i ll go out and find one .,firefly must be captured at any cost .
you got wine . that s great .,would you mind if we just called it an early night ?
no . i want to know .,. . . sex .
oh shit what s today ?,today is tuesday . what ?
you got it .,i haven t got it yet .
that s where it gets a little strange .,and what about the guy that was following me ?
i didn t kill anybody .,no one s saying you did .
phoebe ?,i call myself phoebe .
chief ? ! is that you ?,yeah it s me .
it was a different floor then . . .,guess !
i thought he was out of town .,he is .
then you also understand that you must die .,no .
max ! what s wrong ?,it s u garlic u ! ! i like garlic but . . .
hey .,how you doin ?
i don t drive cross country .,but if you did .
finder s keepers .,here i come ready or not .
. . .that d be my guess .,looks like somebody cut off his ring finger .
that is not what i m,bull u shit u erin . bullshit .
nah that s all forgotten .,. . .it is ?
promise me again . . .,i promise . come to bed honey .
well if that s true then i m really in trouble .,but you know where you re lucky ?
put me down for ten you louse .,i ll call the whole pot .
what have you done with his body ?,um . . .
is that the walls of jericho going up ?,yep ! the walls of jericho .
we had pictures put on that way everybody knows who everybody was !,wonderful .
no i think you should stay the same wonderful person you are today .,i mean put clothes on .
don t you know better than to talk to me with people around ?,oh putting on the swell eh ?
sure i think so stew .,i knew you would pal . a bird in a gilded cage eh ?
good lord . what do you study in history ?,my nails .
get real that would make me a suspect !,just because you knew her ?
you fucked carlton ? see i told you he liked you .,no ! not fucked him i think i killed him .
what did you say ?,i said . . . france is your enemy . not ours .
we ve got to have a talk you and me .,all right but later . i ve got a meeting now .
they go together .,i ve heard a name . someone they talk about in whispers .
my father has gone to a better place .,i m sorry i didn t mean to . . .
best thing about being a dad is when your kid starts kicking your ass,and the ass of the man who adores her .
what s his name letty ?,i didn t say . . .
i had it at four .,this makes five .
he will learn patience .,much anger in him like in his father .
you re killin me here .,carter just because you saved my butt doesn t mean it s yours .
to make it easier for them or you ?,it s a huge moment in their life
the dame s too smart for him .,how d you like to be married to a wild cat like that ?
bye dad i ll miss you .,thanks i needed that .
blue eyes yes sir .,do you wear eye glasses or contact lenses ?
you got me . afraid of bad news ?,nope .
why well i,ummm . stalling eh ? anything new ?
hold on,what is it ?
i ordered it . it s for your own safety .,dear me you ll be telling me to watch what i eat next .
yes i did .,just listen to them !
yes ! i m trying i swear !,try harder . i m gonna count to three . one . . .
where is she ? !,i don t know . why don t you leave her alone .
could be a big one comin any minute now . . .,where s . . . cuervo jones . . . ?
no ! go right ahead miss saunders .,thanks very much .
they re seymour s .,seymour ? you gotta be kidding me !
i told you what i want . lock the door !,james why don t we . . . ?
well thank you . . . ?,nikki .
what do they want you or ?,time to go .
you think so ? . . .selina ?,you ve seen me . . .
yes to the deal ?,maybe who knows ? you know how voices are . let s go .
yeah . . .,say what happened to your hand ?
hello ?,s up trent ?
what ?,where s my cat ?
i m going to the dance .,what for ?
fries .,one baked one fries .
reach out and snort someone .,i m saved . let s party !
drop the anchor !,we can t it s power driven !
annette how long have we known each other ?,forever .
what ?,tina you don t have a forehead you got a eight head .
bastard ! if you were a true american .,just shut up and hit me !
horrible accident . my neighbour . . . he got killed .,what happened ?
what ?,she s worried about you . and quite frankly so am i .
where you goin ?,i don t know . depends what train i get on .
he died about five or six years ago .,he was shot .
what ?,i miss you . and i miss her .
yeah . she s so little so pretty and innocent .,yeah . she s only .
you really think i m attractive ?,for a butt head ? yes .
and you believe this law with all your heart and soul .,and mind yes . what are you
you wouldn t like it . i ve been there .,my father died in jail and he was twice the man i am .
what the hell s that for ?,what s it for ? ?
i think so .,well thank goodness that s settled .
what does the butter spot feel like ?,soft . nice . i have a good friend back in lhasa .
